epoch,train_loss,val_loss,val_acc,lr,time
1,1.858507,1.621516,40.65,9.997532801828658e-05,2025-09-13T07:54:20
2,1.577593,1.425135,47.9,9.990133642141359e-05,2025-09-13T07:54:47
3,1.412162,1.335633,51.21,9.977809823015401e-05,2025-09-13T07:55:15
4,1.299911,1.271668,53.62,9.960573506572391e-05,2025-09-13T07:55:42
5,1.222963,1.185377,57.66,9.93844170297569e-05,2025-09-13T07:56:10
6,1.156806,1.102529,60.0,9.911436253643445e-05,2025-09-13T07:56:37
7,1.103981,1.096253,59.47,9.879583809693738e-05,2025-09-13T07:57:05
8,1.056577,1.068024,61.89,9.842915805643157e-05,2025-09-13T07:57:32
9,1.011684,1.04232,62.89,9.801468428384717e-05,2025-09-13T07:57:59
10,0.972409,0.985948,64.7,9.75528258147577e-05,2025-09-13T07:58:27
11,0.932157,1.001439,64.47,9.70440384477113e-05,2025-09-13T07:58:54
12,0.892368,0.984849,65.6,9.64888242944126e-05,2025-09-13T07:59:21
13,0.85819,0.957157,66.56,9.588773128419907e-05,2025-09-13T07:59:49
14,0.828546,0.933275,66.93,9.5241352623301e-05,2025-09-13T08:00:16
15,0.791202,0.923596,67.72,9.455032620941843e-05,2025-09-13T08:00:43
16,0.755755,0.931907,67.91,9.381533400219321e-05,2025-09-13T08:01:10
17,0.728299,0.91551,68.74,9.303710135019722e-05,2025-09-13T08:01:37
18,0.702568,0.931805,68.71,9.22163962751008e-05,2025-09-13T08:02:05
19,0.671414,0.937791,68.61,9.135402871372814e-05,2025-09-13T08:02:32
20,0.643851,0.925368,69.39,9.045084971874742e-05,2025-09-13T08:02:59
21,0.616912,0.97892,68.44,8.950775061878456e-05,2025-09-13T08:03:27
22,0.589346,0.96438,69.12,8.852566213878951e-05,2025-09-13T08:03:54
23,0.56285,0.943757,69.48,8.750555348152303e-05,2025-09-13T08:04:22
24,0.535163,0.972938,69.72,8.644843137107063e-05,2025-09-13T08:04:50
25,0.515019,1.000219,69.53,8.535533905932742e-05,2025-09-13T08:05:17
26,0.489027,0.980867,69.66,8.422735529643448e-05,2025-09-13T08:05:44
27,0.469831,1.055833,69.54,8.306559326618263e-05,2025-09-13T08:06:12
28,0.446811,1.046911,69.58,8.187119948743452e-05,2025-09-13T08:06:39
29,0.429174,1.04581,70.3,8.064535268264887e-05,2025-09-13T08:07:06
30,0.410503,1.082561,69.45,7.938926261462371e-05,2025-09-13T08:07:34
31,0.387234,1.095583,69.81,7.810416889260659e-05,2025-09-13T08:08:01
32,0.37431,1.150343,69.78,7.679133974894988e-05,2025-09-13T08:08:28
33,0.358755,1.153936,69.46,7.545207078751862e-05,2025-09-13T08:08:55
34,0.345728,1.142283,69.83,7.408768370508582e-05,2025-09-13T08:09:22
35,0.326877,1.162333,70.51,7.26995249869774e-05,2025-09-13T08:09:50
36,0.310128,1.191228,69.73,7.12889645782537e-05,2025-09-13T08:10:17
37,0.302411,1.251087,69.74,6.985739453173908e-05,2025-09-13T08:10:44
38,0.291367,1.257405,69.98,6.840622763423397e-05,2025-09-13T08:11:12
39,0.281991,1.252839,70.04,6.693689601226464e-05,2025-09-13T08:11:39
40,0.262055,1.283809,70.27,6.545084971874744e-05,2025-09-13T08:12:06
41,0.253834,1.300121,70.34,6.394955530196154e-05,2025-09-13T08:12:33
42,0.253275,1.304334,70.11,6.24344943582428e-05,2025-09-13T08:13:01
43,0.235899,1.361889,70.48,6.0907162069827195e-05,2025-09-13T08:13:28
44,0.230156,1.358565,70.04,5.93690657292863e-05,2025-09-13T08:13:56
45,0.229954,1.357693,70.27,5.7821723252011606e-05,2025-09-13T08:14:23
46,0.222578,1.395247,69.99,5.6266661678215284e-05,2025-09-13T08:14:50
47,0.213426,1.377143,70.58,5.470541566592577e-05,2025-09-13T08:15:18
48,0.206623,1.416825,69.96,5.313952597646573e-05,2025-09-13T08:15:45
49,0.206003,1.418352,70.34,5.1570537953906474e-05,2025-09-13T08:16:12
50,0.196334,1.430006,70.56,5.0000000000000057e-05,2025-09-13T08:16:40
51,0.189488,1.473225,70.36,4.842946204609364e-05,2025-09-13T08:17:07
52,0.182696,1.485687,70.42,4.686047402353438e-05,2025-09-13T08:17:34
53,0.185664,1.452679,70.31,4.529458433407433e-05,2025-09-13T08:18:01
54,0.1733,1.465294,70.25,4.3733338321784836e-05,2025-09-13T08:18:29
55,0.162101,1.510993,70.79,4.21782767479885e-05,2025-09-13T08:18:56
56,0.169069,1.49741,70.51,4.0630934270713814e-05,2025-09-13T08:19:23
57,0.165113,1.520015,70.83,3.909283793017293e-05,2025-09-13T08:19:50
58,0.164861,1.511122,70.67,3.75655056417573e-05,2025-09-13T08:20:17
59,0.154363,1.558704,70.52,3.605044469803859e-05,2025-09-13T08:20:44
60,0.154713,1.553345,70.37,3.454915028125269e-05,2025-09-13T08:21:11
61,0.150476,1.543826,70.9,3.3063103987735474e-05,2025-09-13T08:21:39
62,0.143319,1.56163,71.0,3.159377236576616e-05,2025-09-13T08:22:06
63,0.144642,1.592589,70.39,3.0142605468261005e-05,2025-09-13T08:22:33
64,0.139035,1.58424,71.14,2.8711035421746404e-05,2025-09-13T08:23:00
65,0.136872,1.554627,70.88,2.73004750130227e-05,2025-09-13T08:23:27
66,0.131022,1.579295,70.87,2.5912316294914263e-05,2025-09-13T08:23:54
67,0.13442,1.602022,71.14,2.4547929212481466e-05,2025-09-13T08:24:21
